interval,threads,rate,MB/sec,bytes/io,read%,resp,read_resp,write_resp,resp_max,read_max,write_max,resp_std,queue_depth,cpu_used,cpu_user
258,4,105688,1651.375,16384,49.8306,1.1696,0.3783,1.9556,6.111,2.614,6.111,0.8867,123.609,5.6012,0.6074
259,4,105217,1644.0156,16384,50.0195,1.1746,0.3774,1.9725,13.067,2.462,13.067,0.9202,123.6212,5.4325,0.5629
260,4,105178,1643.4062,16384,50.0086,1.1756,0.3814,1.97,6.048,2.675,6.048,0.8954,123.6092,5.4048,0.5718
261,4,104405,1631.3281,16384,49.7246,1.1839,0.3799,1.979,6.605,3.326,6.605,0.904,123.6088,5.4742,0.5358
262,4,104243,1628.7969,16384,49.7568,1.1867,0.3778,1.9877,14.085,3.36,14.085,0.9344,123.7301,5.7111,0.6771
263,4,105135,1642.7344,16384,50.0737,1.176,0.3819,1.9724,7.127,2.735,7.127,0.8961,123.623,5.7397,0.6794
264,4,104613,1634.5781,16384,49.9527,1.182,0.3824,1.98,11.69,3.481,11.69,0.9153,123.6352,5.5303,0.6165
265,4,104654,1635.2188,16384,49.8309,1.1802,0.3815,1.9736,10.819,10.312,10.819,0.9069,123.5084,5.4537,0.5543
266,4,105146,1642.9062,16384,50.2568,1.1758,0.3817,1.9782,13.336,5.923,13.336,0.9064,123.6527,5.4469,0.5446
267,4,104250,1628.9062,16384,49.7113,1.1862,0.3794,1.9838,15.87,15.058,15.87,0.93,123.6448,5.6794,0.6509
268,4,105169,1643.2656,16384,50.1517,1.1757,0.381,1.9753,10.744,4.807,10.744,0.9164,123.6712,5.8866,0.7046
269,4,105124,1642.5625,16384,50.0523,1.1764,0.3802,1.9743,6.447,2.843,6.447,0.8965,123.6652,5.7659,0.6505
270,4,104849,1638.2656,16384,50.0997,1.1781,0.3787,1.9807,15.409,2.689,15.409,0.9259,123.524,5.7077,0.6154
271,4,104566,1633.8438,16384,49.9531,1.1824,0.3821,1.9812,11.808,10.318,11.808,0.9202,123.645,5.6309,0.6148
272,4,104985,1640.3906,16384,50.0672,1.1773,0.3815,1.9753,13.246,3.241,13.246,0.9145,123.5961,5.9734,0.7923
273,4,105841,1653.7656,16384,50.3623,1.1675,0.3787,1.9679,6.066,2.457,6.066,0.8907,123.5734,6.0176,0.838
274,4,105345,1646.0156,16384,50.0631,1.1719,0.3779,1.968,6.419,2.372,6.419,0.8945,123.4604,5.9837,0.7402
275,4,104530,1633.2812,16384,49.8986,1.1837,0.3799,1.9843,15.71,2.582,15.71,0.9581,123.7195,5.9441,0.7307
276,4,105449,1647.6406,16384,50.0763,1.1715,0.3822,1.9632,12.405,3.134,12.405,0.9015,123.6039,5.8311,0.6331
277,4,104661,1635.3281,16384,50.0502,1.179,0.3821,1.9775,12.209,2.655,12.209,0.9149,123.6084,5.661,0.6329
278,4,104653,1635.2031,16384,49.8342,1.1834,0.385,1.9765,12.555,10.797,12.555,0.9153,123.6089,5.6695,0.5705
279,4,105175,1643.3594,16384,49.8474,1.1754,0.3775,1.9685,15.902,8.474,15.902,0.9622,123.5971,5.7439,0.6243
280,4,105084,1641.9375,16384,50.1228,1.1763,0.3814,1.9752,13.743,5.721,13.743,0.9237,123.6186,5.9574,0.7314
281,4,104630,1634.8438,16384,49.9446,1.1816,0.3824,1.9792,10.924,2.698,10.924,0.9094,123.6276,5.8786,0.7215
282,4,104185,1627.8906,16384,49.7471,1.1862,0.3832,1.9811,6.503,2.561,6.503,0.9069,123.631,5.67,0.6329
283,4,104856,1638.375,16384,50.1555,1.1795,0.3833,1.9806,11.623,3.922,11.623,0.9186,123.6414,5.6298,0.6057
284,4,105174,1643.3438,16384,50.0114,1.1757,0.3784,1.9733,11.841,2.503,11.841,0.9175,123.645,5.7959,0.6411
285,4,104511,1632.9844,16384,49.7345,1.1834,0.3817,1.9767,9.527,9.1,9.527,0.9042,123.6713,5.8084,0.6503
286,4,105394,1646.7812,16384,50.0778,1.1717,0.3803,1.9656,11.551,2.788,11.551,0.9033,123.5306,6.0303,0.7226
287,4,105311,1645.4844,16384,49.9986,1.1748,0.3786,1.9709,6.337,2.587,6.337,0.9035,123.6699,5.8037,0.7043
288,4,104771,1637.0469,16384,49.8831,1.1804,0.3798,1.9773,8.019,2.971,8.019,0.9059,123.6742,5.6843,0.6325
289,4,105400,1646.875,16384,50.2742,1.1719,0.3769,1.9757,21.68,19.74,21.68,0.9289,123.5312,5.7112,0.6247
290,4,104578,1634.0312,16384,50.0296,1.1823,0.3829,1.9826,6.19,6.077,6.19,0.9071,123.6342,5.7827,0.6415
291,4,104872,1638.625,16384,50.1917,1.1791,0.3817,1.9826,12.58,4.02,12.58,0.9092,123.6546,5.9899,0.6953
292,4,105341,1645.9531,16384,50.1799,1.1741,0.3805,1.9734,7.663,2.954,7.663,0.9009,123.6751,5.7644,0.6682
293,4,105053,1641.4531,16384,50.2223,1.1755,0.3827,1.9753,10.224,4.521,10.224,0.9021,123.4996,5.747,0.6426
294,4,104820,1637.8125,16384,49.9428,1.1789,0.3802,1.9758,6.475,2.442,6.475,0.9014,123.6154,5.6584,0.6059
295,4,104512,1633,16384,49.9512,1.1833,0.38,1.9851,11.627,2.598,11.627,0.9267,123.6185,5.7481,0.6238
296,4,104963,1640.0469,16384,49.8652,1.1785,0.3815,1.9712,11.081,2.502,11.081,0.9067,123.7264,5.8164,0.6324
